transformed_feature,coefficient,raw_feature,abs_coefficient
missingindicator_h1_arterial_ph_max,0.00827361665353635,h1_arterial_ph_max,0.00827361665353635
apache_3j_diagnosis_0.2,-0.0082694056316668,apache_3j_diagnosis,0.0082694056316668
apache_3j_diagnosis_1705.02,0.008188742260273489,apache_3j_diagnosis,0.008188742260273489
apache_3j_diagnosis_1413.02,-0.00813093840592891,apache_3j_diagnosis,0.00813093840592891
hospital_id_34.0,-0.008125574952826316,hospital_id,0.008125574952826316
icu_id_170.0,-0.008125574952826316,icu_id,0.008125574952826316
apache_3j_diagnosis_1504.02,-0.007969658797346143,apache_3j_diagnosis,0.007969658797346143
icu_type_CCU-CTICU,0.007958859359308961,icu_type,0.007958859359308961
apache_3j_diagnosis_801.01,-0.00792647966038767,apache_3j_diagnosis,0.00792647966038767
icu_id_144.0,0.00792307727517749,icu_id,0.00792307727517749
hospital_id_74.0,0.00792307727517749,hospital_id,0.00792307727517749
hospital_id_150.0,0.007854091341462059,hospital_id,0.007854091341462059
icu_id_160.0,0.007854091341462059,icu_id,0.007854091341462059
icu_id_187.0,0.007818920412368178,icu_id,0.007818920412368178
apache_3j_diagnosis_1304.06,-0.0077020556443680235,apache_3j_diagnosis,0.0077020556443680235
icu_id_766.0,-0.007655959623813611,icu_id,0.007655959623813611
apache_3j_diagnosis_1602.15,-0.0076306519333678375,apache_3j_diagnosis,0.0076306519333678375
temp_apache,-0.007433441229327936,temp_apache,0.007433441229327936
apache_3j_diagnosis_701.01,0.007408002208722043,apache_3j_diagnosis,0.007408002208722043
icu_admit_source_missing,0.007345537904979294,icu_admit_source,0.007345537904979294
d1_diasbp_invasive_max,0.007329859850516197,d1_diasbp_invasive_max,0.007329859850516197
apache_2_bodysystem_Undefined Diagnoses,0.007310617134550283,apache_2_bodysystem,0.007310617134550283
h1_creatinine_max,0.007246307272073219,h1_creatinine_max,0.007246307272073219
icu_id_93.0,0.007235844913204222,icu_id,0.007235844913204222
apache_3j_diagnosis_1408.03,-0.007235325269031458,apache_3j_diagnosis,0.007235325269031458
apache_3j_diagnosis_1207.02,0.007227795711969065,apache_3j_diagnosis,0.007227795711969065
icu_id_903.0,-0.007170157280361322,icu_id,0.007170157280361322
hospital_id_167.0,-0.007170157280361322,hospital_id,0.007170157280361322
apache_3j_diagnosis_1408.07,-0.007170047641135964,apache_3j_diagnosis,0.007170047641135964
missingindicator_h1_mbp_noninvasive_max,0.007090698113228807,h1_mbp_noninvasive_max,0.007090698113228807
missingindicator_h1_mbp_noninvasive_min,0.007090698113228807,h1_mbp_noninvasive_min,0.007090698113228807
icu_admit_source_Other ICU,-0.007084549366379613,icu_admit_source,0.007084549366379613
hospital_id_72.0,-0.007019344023620907,hospital_id,0.007019344023620907
icu_id_389.0,-0.007019344023620907,icu_id,0.007019344023620907
apache_3j_diagnosis_1409.01,-0.007004307222770083,apache_3j_diagnosis,0.007004307222770083
hospital_id_36.0,0.006961990951335522,hospital_id,0.006961990951335522
icu_id_905.0,0.006961990951335522,icu_id,0.006961990951335522
icu_id_242.0,-0.006944244801450223,icu_id,0.006944244801450223
apache_3j_diagnosis_1703.01,-0.006817764415443674,apache_3j_diagnosis,0.006817764415443674
paco2_apache,-0.006809711313233667,paco2_apache,0.006809711313233667
paco2_for_ph_apache,-0.006809711313233667,paco2_for_ph_apache,0.006809711313233667
apache_3j_diagnosis_305.01,-0.006768619860632936,apache_3j_diagnosis,0.006768619860632936
d1_albumin_max,-0.0067249753045154105,d1_albumin_max,0.0067249753045154105
apache_2_bodysystem_Trauma,0.0066861887403222905,apache_2_bodysystem,0.0066861887403222905
apache_3j_bodysystem_Trauma,0.0066861887403222905,apache_3j_bodysystem,0.0066861887403222905
icu_type_Cardiac ICU,0.0066796055328330935,icu_type,0.0066796055328330935
apache_3j_diagnosis_210.02,-0.006648706170966089,apache_3j_diagnosis,0.006648706170966089
apache_2_diagnosis_215.0,0.00660530497645477,apache_2_diagnosis,0.00660530497645477
apache_3j_diagnosis_1506.07,0.006590669318356935,apache_3j_diagnosis,0.006590669318356935
icu_id_338.0,-0.006583751961462045,icu_id,0.006583751961462045
missingindicator_d1_heartrate_max,-0.006463166836248941,d1_heartrate_max,0.006463166836248941
missingindicator_d1_heartrate_min,-0.006463166836248941,d1_heartrate_min,0.006463166836248941
missingindicator_fio2_apache,0.0063662185792657255,fio2_apache,0.0063662185792657255
missingindicator_paco2_for_ph_apache,0.0063662185792657255,paco2_for_ph_apache,0.0063662185792657255
missingindicator_pao2_apache,0.0063662185792657255,pao2_apache,0.0063662185792657255
missingindicator_ph_apache,0.0063662185792657255,ph_apache,0.0063662185792657255
missingindicator_paco2_apache,0.0063662185792657255,paco2_apache,0.0063662185792657255
d1_calcium_max,0.006327477049263894,d1_calcium_max,0.006327477049263894
apache_3j_diagnosis_1704.01,-0.006321033478386357,apache_3j_diagnosis,0.006321033478386357
apache_2_diagnosis_216.0,-0.006321033478386357,apache_2_diagnosis,0.006321033478386357
apache_3j_diagnosis_901.05,-0.005808149592548105,apache_3j_diagnosis,0.005808149592548105
missingindicator_solid_tumor_with_metastasis,-0.005740467974547954,solid_tumor_with_metastasis,0.005740467974547954
missingindicator_arf_apache,-0.005740467974547954,arf_apache,0.005740467974547954
missingindicator_ventilated_apache,-0.005740467974547954,ventilated_apache,0.005740467974547954
missingindicator_leukemia,-0.005740467974547954,leukemia,0.005740467974547954
missingindicator_aids,-0.005740467974547954,aids,0.005740467974547954
missingindicator_cirrhosis,-0.005740467974547954,cirrhosis,0.005740467974547954
missingindicator_immunosuppression,-0.005740467974547954,immunosuppression,0.005740467974547954
missingindicator_hepatic_failure,-0.005740467974547954,hepatic_failure,0.005740467974547954
missingindicator_intubated_apache,-0.005740467974547954,intubated_apache,0.005740467974547954
missingindicator_diabetes_mellitus,-0.005740467974547954,diabetes_mellitus,0.005740467974547954
missingindicator_lymphoma,-0.005740467974547954,lymphoma,0.005740467974547954
hospital_id_4.0,-0.005717492176290288,hospital_id,0.005717492176290288
icu_id_153.0,-0.005717492176290288,icu_id,0.005717492176290288
missingindicator_h1_pao2fio2ratio_max,0.005504947730784855,h1_pao2fio2ratio_max,0.005504947730784855
missingindicator_h1_pao2fio2ratio_min,0.005504947730784855,h1_pao2fio2ratio_min,0.005504947730784855
icu_id_677.0,-0.005418023544359644,icu_id,0.005418023544359644
h1_bilirubin_max,0.005404389415155588,h1_bilirubin_max,0.005404389415155588
heart_rate_apache,0.005309765401764935,heart_rate_apache,0.005309765401764935
apache_3j_diagnosis_1601.04,-0.005306650867675643,apache_3j_diagnosis,0.005306650867675643
hospital_admit_source_ICU to SDU,0.005140939731921868,hospital_admit_source,0.005140939731921868
apache_3j_diagnosis_1602.09,-0.005120033990981366,apache_3j_diagnosis,0.005120033990981366
apache_3j_diagnosis_1903.01,-0.005087541570937655,apache_3j_diagnosis,0.005087541570937655
apache_3j_diagnosis_1803.02,-0.005048606983084623,apache_3j_diagnosis,0.005048606983084623
apache_3j_diagnosis_1208.06,0.00488765041389712,apache_3j_diagnosis,0.00488765041389712
missingindicator_h1_resprate_min,0.004857585068309051,h1_resprate_min,0.004857585068309051
missingindicator_h1_resprate_max,0.004857585068309051,h1_resprate_max,0.004857585068309051
hospital_id_116.0,0.004837768231701258,hospital_id,0.004837768231701258
missingindicator_d1_diasbp_noninvasive_min,-0.004825521374895732,d1_diasbp_noninvasive_min,0.004825521374895732
missingindicator_d1_diasbp_noninvasive_max,-0.004825521374895732,d1_diasbp_noninvasive_max,0.004825521374895732
apache_3j_diagnosis_1602.13,-0.004734872658612237,apache_3j_diagnosis,0.004734872658612237
apache_3j_diagnosis_903.01,-0.004717826335768997,apache_3j_diagnosis,0.004717826335768997
apache_3j_diagnosis_1208.11,-0.004716617624387728,apache_3j_diagnosis,0.004716617624387728
icu_id_611.0,-0.004658720075197938,icu_id,0.004658720075197938
apache_3j_diagnosis_1203.01,-0.004650268335225546,apache_3j_diagnosis,0.004650268335225546
hospital_id_182.0,0.004604954418836759,hospital_id,0.004604954418836759
icu_id_506.0,0.004604954418836759,icu_id,0.004604954418836759
apache_3j_diagnosis_1208.15,-0.004556848651870434,apache_3j_diagnosis,0.004556848651870434
h1_lactate_max,0.004479865588052453,h1_lactate_max,0.004479865588052453
icu_id_711.0,0.004418641572545576,icu_id,0.004418641572545576
missingindicator_h1_hco3_min,0.004263981400311961,h1_hco3_min,0.004263981400311961
